company,contact_name,contact_email,contact_phone,product
A Company,Liam,Liam@co.com,(963) 793-9278,Product A
A Company,Noah,Noah@co.com,(821) 465-3644,Product A
Bee Co,Oliver,Oliver@co.com,(367) 420-1964,Product A
Cheers,Elijah,Elijah@co.com,(872) 457-1910,Product A
Good Burger,James,James@co.com,(296) 775-8262,"Product A, Product B"
Cyberdyne Systems,William,William@co.com,(215) 774-6168,Product B
Hooli,Benjamin,Benjamin@co.com,(296) 798-7801,Product A
Soylent,Lucas,Lucas@co.com,(200) 978-2748,Product A
Olivia Pope & Associates,Henry,Henry@co.com,(886) 346-4939,Product B
Olivia Pope & Associates,Theodore,Theodore@co.com,(292) 313-3642,Product B
Bubba Gump,Olivia,Olivia@co.com,(969) 444-4577,Product A
Duff Beer,Emma,Emma@co.com,(471) 670-6255,Product A
Genco Pura Olive Oil Company,Charlotte,Charlotte@co.com,(265) 643-1040,Product B
Wonka Industries,Amelia,Amelia@co.com,(829) 920-2088,Product A
Acme Corp,Ava,Ava@co.com,(625) 277-9965,Product A
Stark Industries,Sophia,Sophia@co.com,(731) 529-5237,Product B
Ollivander's Wand Shop,Isabella,Isabella@co.com,(771) 460-1337,"Product A, Product B"
Gekko & Co.,Mia,Mia@co.com,(823) 876-9715,Product A
Wayne Enterprises,Mr Fox,Mr Fox@co.com,(932) 505-6225,"Product A, Product B"
Wayne Enterprises,Bruce,Bruce@co.com,(743) 534-9164,"Product A, Product B"
Wayne Enterprises,Alfred,Alfred@co.com,(618) 655-0849,"Product A, Product B"
